,Direccion,Costo,Baños,Recamaras,Area,Estacionamientos,Seguridad,Balcon,Terraza,Jardines,Alberca,Gimnasio
0,"Juárez, Cuauhtémoc, Ciudad de México",17500.0,2.0,2.0,70.0,0,0,0,0,0,0,0
1,"Lomas de Sotelo, Naucalpan de Juárez, Estado de México",14900.0,2.0,2.0,68.0,0,0,0,0,0,0,0
2,"Tabacalera, Cuauhtémoc, Ciudad de México",33000.0,2.0,2.0,90.0,0,0,0,0,0,0,0
3,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",40200.0,1.0,1.0,68.0,0,1,0,0,0,0,0
4,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",24600.0,1.0,1.0,42.0,0,0,0,0,0,0,1
5,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",35019.0,2.0,2.0,80.0,0,1,0,0,0,0,0
6,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",62000.0,2.0,2.0,191.0,0,1,0,0,0,0,0
7,"San José Insurgentes, Benito Juárez, Ciudad de México",39500.0,2.0,2.0,77.0,1,0,0,0,0,0,0
8,"Lomas de Sotelo, Naucalpan de Juárez, Estado de México",29500.0,2.0,2.0,68.0,1,0,0,0,0,0,0
9,"San José Insurgentes, Benito Juárez, Ciudad de México",28500.0,2.0,2.0,76.0,1,0,0,0,0,0,0
10,"Granada, Miguel Hidalgo, Ciudad de México",95000.0,3.0,3.0,181.0,2,0,0,0,0,0,0
11,"Condesa, Cuauhtémoc, Ciudad de México",45000.0,2.0,1.0,115.0,2,0,0,0,0,0,0
12,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",62000.0,2.0,2.0,191.0,2,0,0,0,0,0,0
13,"Santa Fe Cuajimalpa, Cuajimalpa de Morelos, Ciudad de México",71000.0,3.0,3.0,200.0,3,0,0,0,0,0,0
14,"Condesa, Cuauhtémoc, Ciudad de México",45004.0,2.0,1.0,115.0,0,1,0,0,0,0,0
15,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",24244.0,1.0,1.0,73.0,0,0,0,0,0,0,1
16,"Área 1, Cuauhtémoc, Ciudad de México",15000.0,1.0,1.0,24.0,0,0,0,0,0,0,0
17,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",75000.0,2.0,2.0,180.0,3,0,0,0,0,0,0
18,"Tabacalera, Cuauhtémoc, Ciudad de México",22700.0,,,,0,0,0,0,0,0,0
19,"Condesa, Cuauhtémoc, Ciudad de México",45000.0,2.0,1.0,115.0,2,0,0,0,0,0,0
20,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",37000.0,2.0,2.0,120.0,0,1,0,0,0,0,0
21,"Condesa, Cuauhtémoc, Ciudad de México",50000.0,2.0,3.0,119.0,2,0,0,0,0,0,0
22,"Florida, Álvaro Obregón, Ciudad de México",32500.0,2.0,2.0,166.0,1,0,0,0,0,0,0
23,"Juárez, Cuauhtémoc, Ciudad de México",60000.0,3.0,3.0,173.0,2,0,0,0,0,0,0
24,"San Gabriel, Álvaro Obregón, Ciudad de México",22000.0,1.0,1.0,81.0,2,0,0,0,0,0,0
25,"San Mateo Tlaltenango, Cuajimalpa de Morelos, Ciudad de México",12000.0,2.0,2.0,460.0,6,0,0,0,0,0,0
26,"Polanco, Miguel Hidalgo, Ciudad de México",55000.0,2.0,2.0,160.0,1,0,0,0,0,0,0
27,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",22500.0,1.0,1.0,71.0,1,0,0,0,0,0,0
28,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",40000.0,3.0,4.0,170.0,0,0,0,0,0,0,0
29,"Juárez, Cuauhtémoc, Ciudad de México",22800.0,1.0,1.0,50.0,0,0,0,0,0,1,0
30,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",36919.0,2.0,2.0,92.0,0,1,0,0,0,0,0
31,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",42600.0,2.0,2.0,87.0,0,1,0,0,0,0,0
32,"Lomas de Sotelo, Miguel Hidalgo, Ciudad de México",29500.0,2.0,2.0,68.0,0,1,0,0,0,0,0
33,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",36919.0,2.0,2.0,93.0,0,0,0,0,0,0,1
34,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",67000.0,2.0,2.0,120.0,2,0,0,0,0,0,0
35,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",22843.0,1.0,1.0,61.0,0,0,0,0,0,0,0
36,"Condesa, Cuauhtémoc, Ciudad de México",45000.0,2.0,2.0,85.0,2,0,0,0,0,0,0
37,"Granada, Miguel Hidalgo, Ciudad de México",34000.0,1.0,1.0,69.0,1,0,0,0,0,0,0
38,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",29000.0,1.0,2.0,,0,0,0,0,0,0,0
39,"Rancho del Carmen del Pueblo San Bartolo Ameyalco, Álvaro Obregón, Ciudad de México",92000.0,4.0,4.0,,0,0,0,0,0,0,0
40,"Condesa, Cuauhtémoc, Ciudad de México",2000.0,2.0,2.0,100.0,0,0,0,1,0,0,0
41,"Cuajimalpa, Cuajimalpa de Morelos, Ciudad de México",30000.0,2.0,2.0,100.0,2,0,0,0,0,0,0
42,"Olivar de los Padres, Álvaro Obregón, Ciudad de México",23000.0,3.0,2.0,128.0,4,0,0,0,0,0,0
43,"Polanco, Miguel Hidalgo, Ciudad de México",85000.0,3.0,3.0,245.0,2,0,0,0,0,0,0
44,"Roma Norte, Cuauhtémoc, Ciudad de México",49000.0,1.0,2.0,85.0,0,0,0,0,0,0,1
45,"Polanco, Miguel Hidalgo, Ciudad de México",4500.0,2.0,2.0,200.0,2,0,0,0,0,0,0
46,"Condesa, Cuauhtémoc, Ciudad de México",21000.0,1.0,1.0,42.0,0,0,0,0,0,1,0
47,"Lomas de Chapultepec, Miguel Hidalgo, Ciudad de México",110000.0,3.0,3.0,360.0,4,0,0,0,0,0,0
48,"Santa Fe Cuajimalpa, Cuajimalpa de Morelos, Ciudad de México",48800.0,2.0,2.0,158.0,2,0,0,0,0,0,0
49,"Lomas de Chapultepec, Miguel Hidalgo, Ciudad de México",43000.0,2.0,3.0,183.0,2,0,0,0,0,0,0
50,"Roma Norte, Cuauhtémoc, Ciudad de México",16500.0,1.0,1.0,60.0,0,0,0,0,0,0,0
51,"Santa Lucía Chantepec, Álvaro Obregón, Ciudad de México",5995000.0,2.0,3.0,115.0,2,0,0,0,0,0,0
52,"Olivar de los Padres, Álvaro Obregón, Ciudad de México",35000.0,3.0,3.0,150.0,3,0,0,0,0,0,0
53,"Santa Lucia, Álvaro Obregón, Ciudad de México",19500.0,2.0,2.0,105.0,2,0,0,0,0,0,0
54,"Polanco, Miguel Hidalgo, Ciudad de México",100000.0,3.0,3.0,182.0,2,0,0,0,0,0,0
55,"Bosque de las Lomas, Miguel Hidalgo, Ciudad de México",85000.0,3.0,3.0,380.0,1,0,0,0,0,0,0
56,"Ampliación el Yaqui, Cuajimalpa de Morelos, Ciudad de México",26176.0,1.0,1.0,71.0,1,0,0,0,0,0,0
57,"Polanco, Miguel Hidalgo, Ciudad de México",73500.0,2.0,2.0,330.0,3,0,0,0,0,0,0
58,"Área 1, Cuauhtémoc, Ciudad de México",19500.0,1.0,1.0,50.0,0,1,0,0,0,0,0
59,"Las Aguilas 1a Sección, Álvaro Obregón, Ciudad de México",12600.0,1.0,1.0,40.0,0,0,0,0,0,0,0
60,"Tabacalera, Cuauhtémoc, Ciudad de México",34000.0,1.0,1.0,77.0,1,0,0,0,0,0,0
61,"Condesa, Cuauhtémoc, Ciudad de México",42000.0,2.0,2.0,97.0,1,0,0,0,0,0,0
62,"Lomas de Padierna, Tlalpan, Ciudad de México",0.0,1.0,1.0,,0,0,0,0,0,0,0
63,"Lomas de Memetla, Cuajimalpa de Morelos, Ciudad de México",18000.0,1.0,2.0,62.0,1,0,0,0,0,0,0
64,"San José de los Cedros, Cuajimalpa de Morelos, Ciudad de México",25000.0,1.0,1.0,70.0,1,0,0,0,0,0,0
65,"Roma Norte, Cuauhtémoc, Ciudad de México",25000.0,2.0,2.0,111.0,1,0,0,0,0,0,0
66,"Lomas de Sotelo, Naucalpan de Juárez, Estado de México",20469.0,1.0,1.0,51.0,1,0,0,0,0,0,0
67,"Polanco, Miguel Hidalgo, Ciudad de México",75000.0,3.0,3.0,190.0,1,0,0,0,0,0,0
68,"Contadero, Cuajimalpa de Morelos, Ciudad de México",38000.0,2.0,2.0,132.0,2,0,0,0,0,0,0
69,"Contadero, Cuajimalpa de Morelos, Ciudad de México",38000.0,2.0,2.0,134.0,2,0,0,0,0,0,0
70,"Polanco, Miguel Hidalgo, Ciudad de México",110000.0,3.0,3.0,280.0,3,0,0,0,0,0,0
71,"Contadero, Cuajimalpa de Morelos, Ciudad de México",29800.0,2.0,2.0,90.0,2,0,0,0,0,0,0
72,"Jardines del Pedregal, Álvaro Obregón, Ciudad de México",37000.0,2.0,3.0,113.0,2,0,0,0,0,0,0
73,"Roma Norte, Cuauhtémoc, Ciudad de México",30000.0,1.0,2.0,70.0,0,0,0,0,0,0,0
74,"Roma Sur, Cuauhtémoc, Ciudad de México",18600.0,1.0,1.0,28.0,0,0,0,1,0,0,0
75,"San Gabriel, Álvaro Obregón, Ciudad de México",34000.0,2.0,2.0,95.0,2,0,0,0,0,0,0
76,"Roma Sur, Cuauhtémoc, Ciudad de México",20000.0,1.0,1.0,62.0,0,0,0,0,0,0,0
77,"Lomas de Sotelo, Naucalpan de Juárez, Estado de México",16000.0,1.0,1.0,39.0,1,0,0,0,0,0,0
78,"Polanco, Miguel Hidalgo, Ciudad de México",45000.0,2.0,2.0,150.0,2,0,0,0,0,0,0
79,"Área 1, Cuauhtémoc, Ciudad de México",17500.0,1.0,1.0,40.0,0,0,0,0,0,1,0
80,"Condesa, Cuauhtémoc, Ciudad de México",45000.0,2.0,1.0,115.0,2,0,0,0,0,0,0
81,"Tabacalera, Cuauhtémoc, Ciudad de México",38000.0,1.0,1.0,100.0,0,0,0,0,0,0,0
82,"Juárez, Cuauhtémoc, Ciudad de México",19800.0,1.0,1.0,39.0,0,0,0,0,0,1,0
83,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",37000.0,2.0,2.0,120.0,1,0,0,0,0,0,0
84,"Polanco, Miguel Hidalgo, Ciudad de México",150000.0,3.0,3.0,290.0,3,0,0,0,0,0,0
85,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",24242.0,1.0,1.0,73.0,2,0,0,0,0,0,0
86,"Condesa, Cuauhtémoc, Ciudad de México",55000.0,2.0,1.0,115.0,2,0,0,0,0,0,0
87,"Juárez, Cuauhtémoc, Ciudad de México",29000.0,1.0,1.0,70.0,0,0,0,0,0,1,0
88,"Juárez, Cuauhtémoc, Ciudad de México",29000.0,1.0,1.0,70.0,0,0,0,0,0,1,0
89,"Condesa, Cuauhtémoc, Ciudad de México",55000.0,2.0,1.0,115.0,2,0,0,0,0,0,0
90,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",65000.0,2.0,2.0,209.0,1,0,0,0,0,0,0
91,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",24242.0,1.0,1.0,73.0,1,0,0,0,0,0,0
92,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",37000.0,2.0,2.0,120.0,1,0,0,0,0,0,0
93,"Lomas de Reforma, Miguel Hidalgo, Ciudad de México",35000.0,1.0,2.0,205.0,2,0,0,0,0,0,0
94,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",138000.0,1.0,1.0,120.0,2,0,0,0,0,0,0
95,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",24242.0,1.0,1.0,73.0,2,0,0,0,0,0,0
96,"Polanco, Miguel Hidalgo, Ciudad de México",120000.0,3.0,3.0,351.0,2,0,0,0,0,0,0
97,"Lomas de Reforma, Miguel Hidalgo, Ciudad de México",30000.0,1.0,2.0,110.0,2,0,0,0,0,0,0
98,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",65000.0,2.0,1.0,140.0,1,0,0,0,0,0,0
99,"Juárez, Cuauhtémoc, Ciudad de México",35119.0,2.0,2.0,,0,0,0,0,0,0,0
100,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",42600.0,2.0,2.0,87.0,0,1,0,0,0,0,0
101,"Roma Norte, Cuauhtémoc, Ciudad de México",35004.0,2.0,2.0,65.0,0,0,0,0,0,0,0
102,"Juárez, Cuauhtémoc, Ciudad de México",19504.0,,,,0,0,0,0,0,0,0
103,"Lomas de Sotelo, Miguel Hidalgo, Ciudad de México",29500.0,1.0,2.0,68.0,0,0,0,0,0,0,1
104,"Tabacalera, Cuauhtémoc, Ciudad de México",46000.0,2.0,2.0,110.0,0,0,0,0,0,0,1
105,"Lomas de Sotelo, Miguel Hidalgo, Ciudad de México",30519.0,2.0,2.0,68.0,0,0,0,0,0,0,1
106,"Tabacalera, Cuauhtémoc, Ciudad de México",34000.0,1.0,1.0,77.0,1,0,0,0,0,0,0
107,"Lomas de Sotelo, Miguel Hidalgo, Ciudad de México",29500.0,2.0,2.0,68.0,0,1,0,0,0,0,0
108,"Juárez, Cuauhtémoc, Ciudad de México",30000.0,1.0,1.0,70.0,1,0,0,0,0,0,0
109,"Sinatel, Iztapalapa, Ciudad de México",20000.0,1.0,2.0,95.0,1,0,0,0,0,0,0
110,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",37001.0,2.0,2.0,120.0,0,0,0,1,0,0,0
111,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",25048.0,1.0,1.0,57.0,2,0,0,0,0,0,0
112,"Lomas de Chapultepec, Miguel Hidalgo, Ciudad de México",55000.0,3.0,3.0,190.0,2,0,0,0,0,0,0
113,"Condesa, Cuauhtémoc, Ciudad de México",29000.0,2.0,2.0,65.0,0,0,0,0,0,0,1
114,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",24242.0,1.0,1.0,73.0,2,0,0,0,0,0,0
115,"Condesa, Cuauhtémoc, Ciudad de México",50000.0,2.0,2.0,100.0,1,0,0,0,0,0,0
116,"Cuauhtémoc, Ciudad de México",35200.0,2.0,2.0,68.0,1,0,0,0,0,0,0
117,"Santa Cruz Atoyac, Benito Juárez, Ciudad de México",17700.0,2.0,2.0,88.0,2,0,0,0,0,0,0
118,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",27000.0,1.0,1.0,70.0,1,0,0,0,0,0,0
119,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",39800.0,1.0,1.0,70.0,1,0,0,0,0,0,0
120,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",145000.0,2.0,2.0,300.0,3,0,0,0,0,0,0
121,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",80000.0,3.0,3.0,240.0,3,0,0,0,0,0,0
122,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",37000.0,1.0,1.0,70.0,1,0,0,0,0,0,0
123,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",37000.0,1.0,1.0,70.0,1,0,0,0,0,0,0
124,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",8000.0,2.0,2.0,220.0,4,0,0,0,0,0,0
125,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",52000.0,3.0,3.0,140.0,3,0,0,0,0,0,0
126,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",37000.0,1.0,1.0,70.0,1,0,0,0,0,0,0
127,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",80000.0,3.0,3.0,240.0,3,0,0,0,0,0,0
128,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",35000.0,1.0,1.0,70.0,1,0,0,0,0,0,0
129,"Las Tinajas, Cuajimalpa de Morelos, Ciudad de México",40000.0,4.0,3.0,283.0,1,0,0,0,0,0,0
130,"Lomas de Chapultepec, Miguel Hidalgo, Ciudad de México",6000.0,2.0,2.0,190.0,2,0,0,0,0,0,0
131,"Granada, Miguel Hidalgo, Ciudad de México",8000.0,2.0,2.0,220.0,4,0,0,0,0,0,0
132,"Nativitas, Benito Juárez, Ciudad de México",20500.0,2.0,2.0,92.0,1,0,0,0,0,0,0
133,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",30000.0,1.0,1.0,75.0,1,0,0,0,0,0,0
134,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",37000.0,1.0,1.0,70.0,1,0,0,0,0,0,0
135,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",39800.0,1.0,1.0,70.0,1,0,0,0,0,0,0
136,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",145000.0,2.0,2.0,300.0,3,0,0,0,0,0,0
137,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",35000.0,1.0,1.0,70.0,1,0,0,0,0,0,0
138,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",40000.0,1.0,1.0,68.0,1,0,0,0,0,0,0
139,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",40000.0,1.0,1.0,68.0,1,0,0,0,0,0,0
140,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",30000.0,1.0,1.0,75.0,1,0,0,0,0,0,0
141,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",52000.0,3.0,3.0,140.0,2,0,0,0,0,0,0
142,"Granada, Miguel Hidalgo, Ciudad de México",42000.0,1.0,1.0,94.0,1,0,0,0,0,0,0
143,"Granada, Miguel Hidalgo, Ciudad de México",130000.0,3.0,3.0,260.0,3,0,0,0,0,0,0
144,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",35000.0,1.0,1.0,70.0,1,0,0,0,0,0,0
145,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",24242.0,1.0,1.0,57.0,1,0,0,0,0,0,0
146,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",30000.0,1.0,1.0,75.0,1,0,0,0,0,0,0
147,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",24242.0,1.0,1.0,57.0,1,0,0,0,0,0,0
148,"Anzures, Miguel Hidalgo, Ciudad de México",68640.0,,,,0,0,0,0,0,0,0
149,"Tabacalera, Cuauhtémoc, Ciudad de México",19900.0,,,,0,0,0,0,0,0,0
150,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",39500.0,2.0,3.0,145.0,1,0,0,0,0,0,0
151,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",28050.0,1.0,1.0,70.0,0,0,0,0,0,1,0
152,"Miguel Hidalgo, Ciudad de México",41000.0,2.0,2.0,80.0,2,0,0,0,0,0,0
153,"Anahuac I Sección, Miguel Hidalgo, Ciudad de México",21000.0,1.0,1.0,40.0,0,0,0,0,0,1,0
154,"Irrigación, Miguel Hidalgo, Ciudad de México",30000.0,1.0,3.0,122.0,1,0,0,0,0,0,0
155,"Condesa, Cuauhtémoc, Ciudad de México",15000.0,1.0,1.0,30.0,0,0,0,1,0,0,0
156,"La Martinica, Álvaro Obregón, Ciudad de México",23000.0,2.0,2.0,64.0,2,0,0,0,0,0,0
157,"Tabacalera, Cuauhtémoc, Ciudad de México",35000.0,2.0,2.0,95.0,2,0,0,0,0,0,0
158,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",75000.0,3.0,3.0,330.0,3,0,0,0,0,0,0
159,"San Miguel Chapultepec I Sección, Miguel Hidalgo, Ciudad de México",33000.0,3.0,2.0,100.0,1,0,0,0,0,0,0
160,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",27000.0,1.0,2.0,100.0,1,0,0,0,0,0,0
161,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",45000.0,3.0,3.0,156.0,2,0,0,0,0,0,0
162,"Xoco, Benito Juárez, Ciudad de México",20500.0,2.0,2.0,70.0,1,0,0,0,0,0,0
163,"Tabacalera, Cuauhtémoc, Ciudad de México",100000.0,3.0,3.0,239.0,2,0,0,0,0,0,0
164,"Contadero, Cuajimalpa de Morelos, Ciudad de México",52000.0,3.0,3.0,180.0,1,0,0,0,0,0,0
165,"Jesus Del Monte, Cuajimalpa de Morelos, Ciudad de México",20000.0,2.0,3.0,160.0,2,0,0,0,0,0,0
166,"Guadalupe Inn, Álvaro Obregón, Ciudad de México",25000.0,2.0,2.0,,0,0,0,0,0,0,0
167,"Roma Norte, Cuauhtémoc, Ciudad de México",35000.0,2.0,2.0,100.0,2,0,0,0,0,0,0
168,"Roma Sur, Cuauhtémoc, Ciudad de México",28000.0,2.0,2.0,65.0,1,0,0,0,0,0,0
169,"Roma Norte, Cuauhtémoc, Ciudad de México",24300.0,1.0,1.0,37.0,0,0,0,1,0,0,0
170,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",39500.0,2.0,2.0,146.0,2,0,0,0,0,0,0
171,"Roma Norte, Cuauhtémoc, Ciudad de México",38077.0,2.0,2.0,70.0,0,0,0,1,0,0,0
172,"Santa Fe Cuajimalpa, Cuajimalpa de Morelos, Ciudad de México",54999.0,3.0,2.0,272.0,2,0,0,0,0,0,0
173,"Juárez, Cuauhtémoc, Ciudad de México",19500.0,1.0,1.0,34.0,0,1,0,0,0,0,0
174,"Roma Norte, Cuauhtémoc, Ciudad de México",38077.0,2.0,2.0,70.0,0,0,0,1,0,0,0
175,"Roma Norte, Cuauhtémoc, Ciudad de México",24300.0,1.0,1.0,37.0,0,0,0,1,0,0,0
176,"Roma Norte, Cuauhtémoc, Ciudad de México",23000.0,1.0,1.0,42.0,0,0,0,1,0,0,0
177,"Lomas de San Ángel, Álvaro Obregón, Ciudad de México",23000.0,1.0,1.0,63.0,0,0,0,1,0,0,0
178,"El Yaqui, Cuajimalpa de Morelos, Ciudad de México",65000.0,3.0,3.0,285.0,3,0,0,0,0,0,0
179,"Polanco, Miguel Hidalgo, Ciudad de México",50000.0,2.0,2.0,210.0,2,0,0,0,0,0,0
180,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",27000.0,1.0,2.0,92.0,1,0,0,0,0,0,0
181,"Contadero, Cuajimalpa de Morelos, Ciudad de México",24000.0,2.0,2.0,90.0,2,0,0,0,0,0,0
182,"Santa Fe, Álvaro Obregón, Ciudad de México",35000.0,2.0,2.0,148.0,2,0,0,0,0,0,0
183,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",85000.0,3.0,3.0,350.0,3,0,0,0,0,0,0
184,"Juárez, Cuauhtémoc, Ciudad de México",29900.0,1.0,2.0,90.0,2,0,0,0,0,0,0
185,"Napoles, Benito Juárez, Ciudad de México",52400.0,2.0,2.0,144.0,2,0,0,0,0,0,0
186,"Transito, Cuauhtémoc, Ciudad de México",17250.0,1.0,2.0,48.0,1,0,0,0,0,0,0
187,"Transito, Cuauhtémoc, Ciudad de México",16000.0,1.0,2.0,48.0,1,0,0,0,0,0,0
188,"Polanco, Miguel Hidalgo, Ciudad de México",80000.0,3.0,3.0,190.0,2,0,0,0,0,0,0
189,"Área 1, Cuauhtémoc, Ciudad de México",17000.0,1.0,1.0,60.0,1,0,0,0,0,0,0
190,"Juárez, Cuauhtémoc, Ciudad de México",49900.0,1.0,1.0,78.0,1,0,0,0,0,0,0
191,"Tabacalera, Cuauhtémoc, Ciudad de México",34900.0,1.0,1.0,61.0,1,0,0,0,0,0,0
192,"Área 1, Cuauhtémoc, Ciudad de México",17900.0,2.0,1.0,60.0,1,0,0,0,0,0,0
193,"Juárez, Cuauhtémoc, Ciudad de México",59000.0,2.0,2.0,140.0,1,0,0,0,0,0,0
194,"Área 1, Cuauhtémoc, Ciudad de México",17500.0,1.0,1.0,44.0,1,0,0,0,0,0,0
195,"Juárez, Cuauhtémoc, Ciudad de México",28000.0,2.0,2.0,80.0,1,0,0,0,0,0,0
196,"Área 1, Cuauhtémoc, Ciudad de México",38000.0,2.0,2.0,57.0,1,0,0,0,0,0,0
197,"Santa Fe Cuajimalpa, Cuajimalpa de Morelos, Ciudad de México",49900.0,2.0,2.0,97.0,1,0,0,0,0,0,0
198,"Olivar de los Padres, Álvaro Obregón, Ciudad de México",32000.0,2.0,3.0,110.0,2,0,0,0,0,0,0
199,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",27600.0,2.0,2.0,102.0,1,0,0,0,0,0,0
200,"Cuajimalpa, Cuajimalpa de Morelos, Ciudad de México",13000.0,1.0,2.0,85.0,2,0,0,0,0,0,0
201,"Juárez, Cuauhtémoc, Ciudad de México",22000.0,1.0,1.0,48.0,1,0,0,0,0,0,0
202,"Juárez, Cuauhtémoc, Ciudad de México",53000.0,2.0,2.0,140.0,1,0,0,0,0,0,0
203,"Argentina Poniente, Miguel Hidalgo, Ciudad de México",12500.0,1.0,2.0,42.0,0,1,0,0,0,0,0
204,"Anahuac I Sección, Miguel Hidalgo, Ciudad de México",28000.0,1.0,1.0,55.0,1,0,0,0,0,0,0
205,"Anahuac I Sección, Miguel Hidalgo, Ciudad de México",28500.0,2.0,2.0,85.0,2,0,0,0,0,0,0
206,"Anahuac I Sección, Miguel Hidalgo, Ciudad de México",23500.0,2.0,2.0,86.0,2,0,0,0,0,0,0
207,"Polanco, Miguel Hidalgo, Ciudad de México",120000.0,3.0,3.0,195.0,3,0,0,0,0,0,0
208,"Condesa, Cuauhtémoc, Ciudad de México",45000.0,2.0,2.0,142.0,2,0,0,0,0,0,0
209,"Lomas de Sotelo, Miguel Hidalgo, Ciudad de México",14900.0,,,,0,0,0,0,0,0,0
210,"Condesa, Cuauhtémoc, Ciudad de México",45000.0,1.0,1.0,115.0,2,0,0,0,0,0,0
211,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",35000.0,2.0,2.0,80.0,2,0,0,0,0,0,0
212,"Lomas de Sotelo, Miguel Hidalgo, Ciudad de México",19550.0,1.0,1.0,53.0,0,0,0,0,0,1,0
213,"Lomas de Chapultepec, Miguel Hidalgo, Ciudad de México",60000.0,3.0,3.0,300.0,3,0,0,0,0,0,0
214,"Agrícola Oriental, Iztacalco, Ciudad de México",16700.0,1.0,2.0,65.0,1,0,0,0,0,0,0
215,"Juárez, Cuauhtémoc, Ciudad de México",25000.0,1.0,1.0,54.0,1,0,0,0,0,0,0
216,"Aviación Civil, Venustiano Carranza, Ciudad de México",12000.0,1.0,2.0,54.0,1,0,0,0,0,0,0
217,"Del Valle, Benito Juárez, Ciudad de México",35000.0,2.0,2.0,220.0,2,0,0,0,0,0,0
218,"Tabacalera, Cuauhtémoc, Ciudad de México",40000.0,2.0,2.0,120.0,1,0,0,0,0,0,0
219,"Polanco, Miguel Hidalgo, Ciudad de México",67000.0,3.0,3.0,220.0,2,0,0,0,0,0,0
220,"Polanco, Miguel Hidalgo, Ciudad de México",78000.0,2.0,2.0,260.0,2,0,0,0,0,0,0
221,"Anahuac I Sección, Miguel Hidalgo, Ciudad de México",14000.0,1.0,1.0,60.0,0,0,0,1,0,0,0
222,"Héroes de Padierna, La Magdalena Contreras, Ciudad de México",15000.0,1.0,3.0,,0,0,0,0,0,0,0
223,"Granada, Miguel Hidalgo, Ciudad de México",58000.0,2.0,2.0,125.0,2,0,0,0,0,0,0
224,"Héroes de Padierna, La Magdalena Contreras, Ciudad de México",15000.0,1.0,3.0,,0,0,0,0,0,0,0
225,"Roma Norte, Cuauhtémoc, Ciudad de México",28600.0,1.0,1.0,40.0,1,0,0,0,0,0,0
226,"Roma Norte, Cuauhtémoc, Ciudad de México",28600.0,1.0,1.0,40.0,1,0,0,0,0,0,0
227,"Lomas de Chapultepec, Miguel Hidalgo, Ciudad de México",18000.0,1.0,1.0,,0,0,0,0,0,0,0
228,"Lomas de Chapultepec, Miguel Hidalgo, Ciudad de México",19000.0,1.0,1.0,,0,0,0,0,0,0,0
229,"Héroes de Padierna, La Magdalena Contreras, Ciudad de México",15000.0,1.0,3.0,,0,0,0,0,0,0,0
