,Direccion,Costo,Baños,Recamaras,Area,Estacionamientos,Seguridad,Balcon,Terraza,Jardines,Alberca,Gimnasio
1501,"Santa Fe, Álvaro Obregón, Ciudad de México",68000.0,2.0,2.0,300.0,3,0,0,0,0,0,0
1502,"Polanco, Miguel Hidalgo, Ciudad de México",75000.0,3.0,2.0,267.0,2,0,0,0,0,0,0
1503,"Mixcoac, Benito Juárez, Ciudad de México",20000.0,1.0,1.0,59.0,1,0,0,0,0,0,0
1504,"Fuentes del Pedregal, Tlalpan, Ciudad de México",45000.0,3.0,3.0,252.0,4,0,0,0,0,0,0
1505,"Ampliación Alpes, Álvaro Obregón, Ciudad de México",30000.0,1.0,1.0,100.0,1,0,0,0,0,0,0
1506,"Ampliación el Yaqui, Cuajimalpa de Morelos, Ciudad de México",22887.0,2.0,1.0,63.0,1,0,0,0,0,0,0
1507,"Lomas Altas, Miguel Hidalgo, Ciudad de México",23000.0,1.0,1.0,,0,0,0,0,0,0,0
1508,"Polanco, Miguel Hidalgo, Ciudad de México",80000.0,2.0,3.0,140.0,1,0,0,0,0,0,0
1509,"Lomas de Bezares, Miguel Hidalgo, Ciudad de México",58000.0,3.0,3.0,205.0,1,0,0,0,0,0,0
1510,"Mixcoac, Benito Juárez, Ciudad de México",20000.0,1.0,1.0,59.0,1,0,0,0,0,0,0
1511,"Contadero, Cuajimalpa de Morelos, Ciudad de México",60000.0,3.0,3.0,249.0,1,0,0,0,0,0,0
1512,"Ampliación Alpes, Álvaro Obregón, Ciudad de México",30000.0,1.0,1.0,100.0,1,0,0,0,0,0,0
1513,"Las Tinajas, Cuajimalpa de Morelos, Ciudad de México",35000.0,2.0,2.0,132.0,2,0,0,0,0,0,0
1514,"Lomas de Bezares, Miguel Hidalgo, Ciudad de México",39000.0,2.0,2.0,126.0,1,0,0,0,0,0,0
1515,"Santa Fe, Álvaro Obregón, Ciudad de México",135000.0,3.0,3.0,337.0,0,0,0,0,0,0,0
1516,"Polanco, Miguel Hidalgo, Ciudad de México",109000.0,3.0,3.0,260.0,2,0,0,0,0,0,0
1517,"Del Valle, Benito Juárez, Ciudad de México",27000.0,2.0,2.0,123.0,2,0,0,0,0,0,0
1518,"Ampliación el Yaqui, Cuajimalpa de Morelos, Ciudad de México",28827.0,2.0,2.0,84.0,1,0,0,0,0,0,0
1519,"San José Insurgentes, Benito Juárez, Ciudad de México",33000.0,2.0,2.0,90.0,1,0,0,0,0,0,0
1520,"Fuentes del Pedregal, Tlalpan, Ciudad de México",45000.0,3.0,3.0,252.0,4,0,0,0,0,0,0
1521,"Anahuac I Sección, Miguel Hidalgo, Ciudad de México",28500.0,2.0,2.0,91.0,1,0,0,0,0,0,0
